id,topic,year_of_income,question,choice_A,choice_B,choice_C,choice_D
Q020,Division 7A & Company Tax,2014-15,"On 3 March 2015 Brightwater Trading Pty Ltd loaned $800 to its shareholder Marcus, which is treated as a provisional dividend of $800 at 30 June 2015. For the year ended 30 June 2015 Brightwater Trading Pty Ltd has a distributable surplus of $1,500, while the total of all provisional dividends (loans and payments to shareholders and associates) is $2,000. Because the distributable surplus is less than the total provisional dividends, each provisional dividend is reduced proportionally: amount treated as a dividend = provisional dividend x (distributable surplus / total provisional dividends).

What amount is treated as a dividend to Marcus for the 2014-15 income year?

A. $1,500.00
B. $600.00
C. $1,066.67
D. $800.00","$1,500.00",$600.00,"$1,066.67",$800.00
Q021,Depreciation,2024-25,"Olivia buys a freestanding electric heater for her residential rental property for exactly $300 (GST-inclusive; she is not registered for GST). The property is rented at commercial rates and the heater is used 100% to produce assessable rental income. Assets costing $300 or LESS can be claimed as an immediate deduction in the year first used for a taxable purpose; assets costing MORE than $300 must be depreciated over their effective life (for a heater, 15 years). The heater is not part of a set.

What deduction can Olivia claim for the heater in 2024-25?

A. $150
B. $300
C. $20
D. $40",$150,$300,$20,$40
Q022,Individual income tax,2023-24,"Daniel is an Australian resident for the year ended 30 June 2024. His only salary is $78,000. During 2023-24 he sold parcels of shares he had held for more than 3 years, making a total capital gain (before any discount) of $30,000, all of which qualifies for the 50% CGT discount. He also has a carried-forward net capital loss of $6,000 from an earlier year. He has no other income, deductions or offsets. Capital losses must be applied to the capital gain BEFORE the 50% CGT discount. For 2023-24 the resident rates are: nil up to $18,200; 19c per $1 from $18,201 to $45,000; $5,092 plus 32.5c per $1 from $45,001 to $120,000; plus a 2% Medicare levy on taxable income.

What is Daniel's income tax payable (including the 2% Medicare levy) for 2023-24?

A. $20,482
B. $22,552
C. $21,517
D. $19,717","$20,482","$22,552","$21,517","$19,717"
Q023,CGT,2024-25,"Gordon bought an investment property for $200,000 under a contract dated 18 May 1992 (deposit $20,000, balance $180,000 on settlement), paying $7,000 stamp duty and $3,000 solicitor's fees, all before 21 September 1999. He sold it on 12 November 2024 for $850,000, incurring $2,000 solicitor's fees and $20,000 agent's commission on sale. Indexing the pre-1999 acquisition costs gives indexed amounts of $24,400 (deposit) + $219,600 (balance) + $7,850 (stamp duty) + $3,090 (solicitor's fees) = $254,940; adding the non-indexable sale costs ($2,000 + $20,000) gives a total indexed cost base of $276,940.

What is Gordon's capital gain on the property using the indexation method?

A. $309,000
B. $286,530
C. $573,060
D. $618,000","$309,000","$286,530","$573,060","$618,000"
Q024,Study and training loans,2025-26,"Mia has a HELP debt. For 2025-26 her repayment income is built up as taxable income $70,000 plus a net investment loss of $5,000 plus reportable super contributions of $3,000, giving repayment income of $78,000. From 2025-26 compulsory repayments are MARGINAL: for repayment income in the $67,001 - $125,000 band the repayment is 15c for each $1 OVER the $67,000 minimum threshold (not a flat percentage of the whole income).

What is Mia's compulsory HELP repayment for 2025-26?

A. $900
B. $450
C. $1,650
D. $11,700",$900,$450,"$1,650","$11,700"
Q025,Depreciation,2024-25,"A machine costs $60,000 (after excluding GST the business is entitled to claim) and has an effective life of 8 years. It was acquired on the first day of the income year and is used wholly for a taxable purpose, so it is held for all 365 days of the year. Northbridge Joinery uses the prime cost (straight line) method.

What is the decline in value (depreciation deduction) for the first income year under the prime cost method?

A. $3,750
B. $15,000
C. $60,000
D. $7,500","$3,750","$15,000","$60,000","$7,500"
Q026,FBT,2022-23,"Verdant Foods Pty Ltd provides fringe benefits to its two employees, Carlos and Yuki. The GST-inclusive benefits for which Verdant Foods can claim a GST credit (type 1 benefits) are: a car fringe benefit for Carlos with a taxable value of $9,900, a car fringe benefit for Yuki with a taxable value of $8,800, and restaurant meals for both employees with a taxable value of $4,400. The total type 1 (GST-inclusive) taxable value is $23,100. The type 1 (higher) gross-up rate is 2.0802.

What is Verdant Foods' type 1 grossed-up amount for these GST-inclusive fringe benefits?

A. $23,100
B. $43,585
C. $22,585
D. $48,053","$23,100","$43,585","$22,585","$48,053"
Q027,Rental property,2024-25,"Priya owns a rental property for the whole of 2024-25. She receives $28,600 in rent plus $400 of other rental-related income. Her deductible rental expenses are: loan interest $19,200, council rates $2,100, insurance $1,300, property agent fees $2,288 and deductible repairs $900. A quantity surveyor's report shows the building's capital works deduction (Division 43, 2.5% of a $140,000 construction cost) is $3,500 for the year. During the year Priya also paid $4,500 to build a brand-new pergola; this is a capital improvement that is not an immediate ('repairs') deduction.

What is Priya's net rental income or loss for 2024-25?

A. -$288
B. -$4,788
C. -$688
D. $3,212",-$288,"-$4,788",-$688,"$3,212"
Q028,Superannuation,2025-26,"For the fortnightly pay period ending 30 June 2025, Marco's pay (paid by Olivia on 3 July 2025) includes salary of $3,200, a higher duties allowance of $600, overtime of $142.55 and an overtime meal allowance of $30. Overtime and overtime meal allowances are not in respect of ordinary hours, so they are excluded from OTE. Because Olivia pays on 3 July 2025, the 2025-26 super guarantee rate of 12% applies.

What is Olivia's minimum super guarantee contribution for Marco for this pay period?

A. $476.71
B. $473.11
C. $456.00
D. $384.00",$476.71,$473.11,$456.00,$384.00
Q029,FBT,2022-23,"After grossing up its benefits, Verdant Foods Pty Ltd (which provided car fringe benefits to Carlos and Yuki plus meals and gym memberships) has a total fringe benefits taxable amount of $61,800 (the type 1 grossed-up amount of $48,053 plus the type 2 grossed-up amount of $13,747). The FBT rate for the year is 47%.

How much FBT must Verdant Foods pay for the FBT year?

A. $29,046.00
B. $61,800.00
C. $27,810.00
D. $60,421.49","$29,046.00","$61,800.00","$27,810.00","$60,421.49"
Q030,GST,2024-25,"Rivermont Pty Ltd, registered for GST, sells an existing residential house (not new residential premises and not commercial residential premises) for $660,000. The premises have only ever been used as a residence.

How much GST is payable on the sale of the residential premises?

A. $66,000
B. $60,000
C. $0
D. $600,000","$66,000","$60,000",$0,"$600,000"
Q031,Superannuation,2018-19,"In 2018-19 Diego and his employer made only $7,500 of super guarantee concessional contributions. The concessional contributions cap for 2018-19 was $25,000. Carry-forward of unused concessional cap amounts can be accumulated starting from 2018-19.

What unused concessional contributions cap did Diego accumulate in 2018-19?

A. $32,500
B. $25,000
C. $20,000
D. $17,500","$32,500","$25,000","$20,000","$17,500"
Q032,FBT,2025-26,"Meridian Property Group pays its employee Lachlan Frost's home telephone bill of $1,800 for the FBT year ending 31 March 2026. On 31 March 2026 Lachlan provides a declaration stating that 45% of the calls are for business purposes (and are therefore otherwise deductible) and the other 55% are private calls. This reimbursement is an expense payment fringe benefit.

What is the taxable value of the expense payment fringe benefit after applying the otherwise deductible rule?

A. $271.69
B. $990.00
C. $1,800.00
D. $810.00",$271.69,$990.00,"$1,800.00",$810.00
Q033,CGT,2024-25,"Daniel buys an investment property for $560,000 and sells it 6 years later for $880,000. His cost base is $615,000, made up of the $560,000 purchase price plus $22,000 stamp duty and $1,800 conveyancing fees on purchase, and $1,400 conveyancing fees and $29,800 agent's commission on sale. He has no other capital gains or losses.

What is Daniel's net capital gain on the investment property after the CGT discount?

A. $66,250
B. $440,000
C. $132,500
D. $265,000","$66,250","$440,000","$132,500","$265,000"
Q034,FBT,2016-17,"On 20 August 2016 Brightwater Logistics Pty Ltd agreed to provide its employee Dilan Reddy with a car fringe benefit. The car was delivered on 25 August 2016 and was available to Dilan for private use from that date until the end of the FBT year (31 March 2017), a total of 219 days. Over that period the car travelled 24,500 kilometres. The base value of the car is $45,000. There is no pre-existing commitment, so the flat statutory rate of 20% applies. Dilan did not make any contributions.

What is the taxable value of the car fringe benefit using the statutory formula method for the FBT year ending 31 March 2017?

A. $9,000
B. $15,000
C. $7,020
D. $5,400","$9,000","$15,000","$7,020","$5,400"
Q035,CGT,2024-25,"Idris acquired a property after 20 September 1985 and owned it for 4,500 days, during which it was his main residence throughout. He left it to his daughter Noor, who owned it for 3,000 days and never used it as her main residence. When Noor died she left it to Lakshmi, who owned it for 900 days and never used it as her main residence. Lakshmi sold the property and made a capital gain of $540,000. The taxable proportion is the days the property was not a main residence (3,000 + 900) divided by the total days from when Idris first acquired it until Lakshmi sold it (3,000 + 900 + 4,500).

What is the taxable proportion of Lakshmi's $540,000 capital gain before any discount?

A. $468,000.00
B. $250,714.29
C. $289,285.71
D. $125,357.14","$468,000.00","$250,714.29","$289,285.71","$125,357.14"
Q036,Individual income tax,2023-24,"Priya is an Australian resident for the year ended 30 June 2024 with a taxable income of $60,000. During the year she also received a $1,500 government disaster relief payment that is exempt income (not assessable and not included in taxable income). Priya is 67 years old. For 2023-24 the resident rates are: nil up to $18,200; 19c per $1 from $18,201 to $45,000; $5,092 plus 32.5c per $1 from $45,001 to $120,000; plus a 2% Medicare levy on taxable income.

What is Priya's income tax payable (including the 2% Medicare levy) on her taxable income of $60,000 for 2023-24?

A. $20,700.00
B. $11,684.50
C. $9,967.00
D. $11,167.00","$20,700.00","$11,684.50","$9,967.00","$11,167.00"
Q037,GST,2018-19,"Riverstone Developments is a GST-registered property developer. It bought a 2,500 square metre block of land for $275,000 from a private individual who wasn't required to be registered for GST. The block is of equal value per square metre. Riverstone subdivided it into a 1,000 sqm lot and a 1,500 sqm lot, using an area basis to work out the purchase price of each lot, so the 1,000 sqm lot's purchase price is 1,000 / 2,500 x $275,000 = $110,000. Riverstone sells the 1,000 sqm lot for $187,000 under the margin scheme.

How much GST is payable on the sale of the 1,000 sqm subdivided lot under the margin scheme?

A. $17,000
B. $7,000
C. -$8,000
D. $7,700","$17,000","$7,000","-$8,000","$7,700"
Q038,GST,2018-19,"Marco is registered for GST. On 25 September 2017 he buys vacant land for $660,000 from Lena, who isn't registered for GST. Marco improves the property with roads and other services and sells it to a developer for $935,000 on 2 October 2018. He chooses to use the margin scheme to work out the GST on the sale.

How much GST must Marco pay on the sale under the margin scheme?

A. $27,500
B. $85,000
C. $12,500
D. $25,000","$27,500","$85,000","$12,500","$25,000"
Q039,Rental property,2024-25,"Rosalind and Quentin jointly own a property they rent out at market rates and also use as a holiday home for 7 weeks during the year. Their total expenses for the property are $45,175, of which $2,275 is the agent's commission and advertising (fully deductible). The remaining $42,900 of expenses must be apportioned to the proportion of the year the property was rented out or genuinely available for rent (45 of 52 weeks). They received $31,200 in rent.

What rental loss do Rosalind and Quentin report for the year (combined)?

A. -$7,893.75
B. $23,150.00
C. -$13,975.00
D. -$8,200.00","-$7,893.75","$23,150.00","-$13,975.00","-$8,200.00"
Q040,CGT,2024-25,"In 2024-25 Wei makes a discount-eligible capital gain of $80,000 on an investment property held for 7 years. In the same year he makes a $6,000 capital loss on shares. He also has a net capital loss of $14,000 carried forward from an earlier income year. Per the ATO steps, all capital losses (prior-year first, then current-year) are subtracted from the gain before the 50% discount is applied to what remains.

What is Wei's net capital gain for 2024-25 after applying both capital losses and the CGT discount?

A. $30,000
B. $37,000
C. $20,000
D. $60,000","$30,000","$37,000","$20,000","$60,000"
Q041,Superannuation,2025-26,"In 2025-26 Leah's ordinary time earnings (OTE) are $90,000, on which her employer must pay super guarantee (SG) at the 2025-26 rate of 12%. She also enters a salary-sacrifice arrangement to put an extra $12,000 into super; salary-sacrificed amounts are concessional contributions and count towards the concessional contributions cap. The concessional contributions cap for 2025-26 is $30,000. She has no carried-forward unused cap.

How much further concessional contribution headroom does Leah have under her 2025-26 concessional cap after her employer SG and salary sacrifice?

A. $7,650
B. $7,200
C. $18,000
D. $19,200","$7,650","$7,200","$18,000","$19,200"
Q042,Depreciation,2024-25,"Sanjay buys a depreciating asset (a freestanding microwave) for his residential rental property for $301 (he is not registered for GST). The asset is held for the full 365 days of the year and used 100% to produce assessable rental income. Because the cost is MORE than $300, he cannot claim an immediate deduction; he must claim the decline in value over its effective life of 10 years. He chooses the diminishing value method (200% rate), and in the first year the base value equals the $301 cost.

What decline-in-value deduction can Sanjay claim for the microwave in its first year (diminishing value method)?

A. $30.10
B. $45.15
C. $60.20
D. $301.00",$30.10,$45.15,$60.20,$301.00
Q043,Individual income tax,2024-25,"Bianca's taxable income is $31,500. She is single with no dependants and isn't entitled to SAPTO. For 2024-25 a single taxpayer's Medicare levy is reduced (shaded in) where taxable income is between the lower threshold of $27,222 and the upper threshold of $34,027: in the shade-in range the levy is 10c for each $1 of taxable income above the lower threshold (instead of the full 2%). The ATO's calculator shows Bianca's Medicare levy is reduced accordingly.

What is Bianca's reduced Medicare levy for 2024-25?

A. $427.80
B. $85.56
C. $630.00
D. $3,150.00",$427.80,$85.56,$630.00,"$3,150.00"
Q044,Superannuation,2025-26,"Felix is the Operations Manager of Diana's Stationery Pty Ltd. During the July to September quarter of 2025-26, Felix's earnings are $78,000. The quarterly maximum contribution base (MCB) for 2025-26 is $62,500, and the super guarantee rate is 12%. SG is only payable up to the MCB.

What super guarantee must Diana's Stationery Pty Ltd contribute for Felix for the quarter?

A. $9,360
B. $62,500
C. $1,860
D. $7,500","$9,360","$62,500","$1,860","$7,500"
Q045,Rental property,2024-25,"Liam buys a rental property and, immediately after settlement and before the first tenant moves in, pays $8,000 to fix a damaged ceiling and a rotted fence that were already defective at the date of purchase. In the same year he also pays $1,200 to fix a hot-water system that broke down due to normal wear AFTER the property had been rented. Initial repairs to rectify damage or defects existing at the time of purchase are capital in nature and cannot be claimed as an immediate repair deduction (they are claimed as capital works over 40 years instead). The $1,200 wear-and-tear repair during the rental period is an immediately deductible repair.

What amount can Liam claim as an immediate repairs deduction (section 25-10) in 2024-25?

A. $1,400
B. $1,200
C. $8,000
D. $9,200","$1,400","$1,200","$8,000","$9,200"
Q046,Individual income tax,2023-24,"Yuki is an Australian resident for the year ended 30 June 2024. She paid $3,200 of foreign income tax. Because she is claiming more than $1,000, she must work out her foreign income tax offset limit. Step 1 is the tax payable on her actual taxable income of $29,000 (including Medicare levy), which the ATO gives as $2,632.00. Step 2 is the tax that would be payable if her assessable foreign income and related deductions were disregarded, leaving a taxable income of $20,500; the ATO gives this as $437.00 (no Medicare levy, as $20,500 is below the Medicare low-income threshold). The offset limit is Step 1 minus Step 2.

What is Yuki's foreign income tax offset limit for 2023-24?

A. $2,195
B. $3,200
C. $3,069
D. $2,632","$2,195","$3,200","$3,069","$2,632"
Q047,Employment,2024-25,"At the end of the income year Owen's logbook shows he travelled a total of 13,000 kilometres, of which 9,750 were for business-related purposes, giving a business-use percentage of 9,750 ÷ 13,000 × 100 = 75%. Owen's total car expenses, including depreciation, are $12,500 for the income year.

Using the logbook method, what car expense deduction can Owen claim?

A. $9,375.00
B. $16,666.67
C. $12,500.00
D. $12,499.25","$9,375.00","$16,666.67","$12,500.00","$12,499.25"
Q048,FBT,2023-24,"Riverbend Benevolent Society, a public benevolent institution registered for GST, provides Fatima with a car fringe benefit valued at $28,000 using the statutory formula method (a type 1 benefit, as the institution is entitled to GST credits). Fatima's only other benefit is a reimbursement of holiday cottage rent that is not under a salary packaged arrangement, so it is excluded. The capping threshold for a public benevolent institution is $30,000. Fatima's grossed-up type 1 amount is $28,000 x 2.0802 = $58,245.60, which exceeds the $30,000 cap.

What is the aggregate non-exempt amount for Fatima's car fringe benefit?

A. $58,245.60
B. $22,830.40
C. $28,245.60
D. -$2,000.00","$58,245.60","$22,830.40","$28,245.60","-$2,000.00"
Q049,Employment,2024-25,"Glenn works from home two days a week (16 hours). From 1 July 2024 to 28 February 2025 he did not keep a record of his work-from-home hours, so he estimated 315 hours, but estimates are not accepted under the fixed rate method. From 1 March 2025 to 30 June 2025 he kept a record in his calendar of his actual start and finish times and calculated 204 hours worked from home. The fixed rate for 2024-25 is 70 cents per work hour.

What working-from-home deduction can Glenn claim for 2024-25 using the fixed rate method?

A. $220
B. $363
C. $137
D. $143",$220,$363,$137,$143
Q050,GST,2020-21,"In September 2018 Bruno sold his going concern, which included property, to Sofia. Bruno had originally bought the property using the margin scheme in August 2014 for $360,000, and a 2014 state government rates valuation stated its value was $385,000 (given to Sofia). Bruno was registered for GST when Sofia bought it. In 2020 Sofia sells the property to a buyer using the margin scheme for $1,045,000, using the 2014 approved valuation of $385,000 to work out the margin.

How much GST must Sofia pay on the sale under the margin scheme?

A. $60,000.00
B. $62,272.73
C. $95,000.00
D. $66,000.00","$60,000.00","$62,272.73","$95,000.00","$66,000.00"
Q051,FBT,2024-25,"Soren Whitlock's employer provides him with a car fringe benefit with a taxable value of $4,200 and a housing fringe benefit with a taxable value of $1,300 for the 2024-25 income year. Both fringe benefits are reportable, and the total taxable value exceeds the $2,000 reporting threshold. Reportable fringe benefits are grossed up using the lower (Type 2) gross-up rate of 1.8868.

What is Soren's reportable fringe benefits amount (RFBA)?

A. $5,500.00
B. $10,377.40
C. $4,877.38
D. $11,441.10","$5,500.00","$10,377.40","$4,877.38","$11,441.10"
Q052,Individual income tax,2023-24,"Marcus is an Australian resident for the year ended 30 June 2024 with a taxable income of $92,000. The ATO works out the income tax payable on his taxable income (including the 2% Medicare levy) as the first step of an offset-limit calculation. For 2023-24 the resident rates are: nil to $18,200; 19c per $1 from $18,201 to $45,000; $5,092 plus 32.5c per $1 from $45,001 to $120,000; plus a 2% Medicare levy on taxable income.

What is the income tax payable (including the 2% Medicare levy) on Marcus's taxable income of $92,000 for 2023-24?

A. $20,367.00
B. $22,207.00
C. $20,367.02
D. $31,740.00","$20,367.00","$22,207.00","$20,367.02","$31,740.00"
Q053,Rental property,2024-25,"Hugo and Delphine take out a single loan of $264,000, of which $220,000 is used to buy a rental property (as joint tenants) and $44,000 is used to buy a car solely for private use. The interest rate is 6.10% per annum and the property is rented from 1 July, so a whole year of interest applies. The total interest for year 1 is $264,000 x 6.10% = $16,104. Only the portion relating to the rental property loan is deductible.

What amount of interest can Hugo and Delphine claim as a rental deduction for year 1 (combined)?

A. $13,420
B. $16,104
C. $6,710
D. $2,684","$13,420","$16,104","$6,710","$2,684"
Q054,FBT,2025-26,"Stonefield Engineering Pty Ltd, a taxable employer, provides for the year ending 31 March 2026: a car for private use by its employee Aria valued using the statutory formula method with a taxable value of $13,500 (a GST taxable supply with an entitlement to a GST credit), and reimbursement of restaurant meals (elected to be classified as meal entertainment fringe benefits) with a taxable value of $1,500 (also a GST taxable supply with an entitlement to a GST credit). Both are type 1 benefits. The type 1 gross-up rate is 2.0802.

What is the type 1 aggregate amount for the FBT year ending 31 March 2026?

A. $15,000.00
B. $28,082.70
C. $28,302.00
D. $31,203.00","$15,000.00","$28,082.70","$28,302.00","$31,203.00"
