id,topic,subtopic,tax_type,year_of_income,difficulty,legal_references,source_url,question,choice_A,choice_B,choice_C,choice_D,answer_label,correct_answer,numeric_answer,unit,explanation,answer_rationale,python_verifier
Q034,FBT,"Car fringe benefit – statutory formula method (days apportioned, no employee contribution)",Fringe benefits tax (car fringe benefits),2016-17,easy,"[""FBTAA 1986 s 9"", ""FBTAA 1986 s 162C""]",https://www.ato.gov.au/forms-and-instructions/fringe-benefits-tax-return-2017-completing-your-return/fringe-benefit-categories/a-cars-using-the-statutory-formula,"On 20 August 2016 Brightwater Logistics Pty Ltd agreed to provide its employee Dilan Reddy with a car fringe benefit. The car was delivered on 25 August 2016 and was available to Dilan for private use from that date until the end of the FBT year (31 March 2017), a total of 219 days. Over that period the car travelled 24,500 kilometres. The base value of the car is $45,000. There is no pre-existing commitment, so the flat statutory rate of 20% applies. Dilan did not make any contributions.

What is the taxable value of the car fringe benefit using the statutory formula method for the FBT year ending 31 March 2017?

A. $9,000
B. $15,000
C. $7,020
D. $5,400","$9,000","$15,000","$7,020","$5,400",D,"$5,400",5400.0,AUD,"Statutory formula method: taxable value = (A x B x C / D) - E → A = base value = 45,000; B = statutory rate = 20% (flat 20% applies from 1 April 2014 where there is no pre-existing commitment); C = days available for private use = 219; D = days in FBT year = 365; E = employee contribution = 0 → (45,000 x 0.20 x 219) / 365 = 5,400 (rounded to nearest dollar)","{""$9,000"": ""Forgot to apportion by the days the car was available (used the full-year value)"", ""$15,000"": ""Inverted the days fraction (multiplied by 365/219 instead of 219/365)"", ""$7,020"": ""Used the 26% pre-existing-commitment rate (under 15,000 km) instead of the flat 20% statutory rate"", ""$5,400"": ""Correct answer""}","{""formula"": ""base_value * statutory_rate * days_available / days_in_year"", ""params"": {""base_value"": 45000, ""statutory_rate"": 0.2, ""days_available"": 219, ""days_in_year"": 365, ""employee_contribution"": 0}, ""expected"": 5400.0}"
Q035,CGT,"Inherited property partial exemption – previously inherited, days-based",Income tax (CGT),2024-25,hard,"[""ITAA 1997 s 118-195"", ""ITAA 1997 s 118-185"", ""ITAA 1997 s 128-15""]",https://www.ato.gov.au/individuals-and-families/investments-and-assets/capital-gains-tax/inherited-assets-and-capital-gains-tax/calculating-a-partial-exemption-for-inherited-property,"Idris acquired a property after 20 September 1985 and owned it for 4,500 days, during which it was his main residence throughout. He left it to his daughter Noor, who owned it for 3,000 days and never used it as her main residence. When Noor died she left it to Lakshmi, who owned it for 900 days and never used it as her main residence. Lakshmi sold the property and made a capital gain of $540,000. The taxable proportion is the days the property was not a main residence (3,000 + 900) divided by the total days from when Idris first acquired it until Lakshmi sold it (3,000 + 900 + 4,500).

What is the taxable proportion of Lakshmi's $540,000 capital gain before any discount?

A. $468,000.00
B. $250,714.29
C. $289,285.71
D. $125,357.14","$468,000.00","$250,714.29","$289,285.71","$125,357.14",B,"$250,714.29",250714.29,AUD,"Non-main-residence days = 3,000 (Noor) + 900 (Lakshmi) = 3,900 → Total days = 3,900 + 4,500 (Idris, main residence) = 8,400 → Taxable proportion = 540,000 x (3,900 / 8,400) = 250,714 (rounded to nearest dollar) → The 50% discount may then be applied separately as the combined ownership exceeded 12 months","{""$468,000.00"": ""Divided by main-residence days only instead of total ownership days"", ""$250,714.29"": ""Correct answer"", ""$289,285.71"": ""Used main-residence days in the numerator instead of non-main-residence days"", ""$125,357.14"": ""Applied the 50% discount, but the question asks for the taxable proportion before the discount""}","{""formula"": ""total_gain * non_main_days / total_days"", ""params"": {""total_gain"": 540000, ""non_main_days"": 3900, ""total_days"": 8400, ""discount_rate"": 0.5}, ""expected"": 250714.29}"
Q036,Individual income tax,Income tax plus Medicare levy with an exempt receipt as a red herring,Income tax (individual),2023-24,medium,"[""ITAA 1997 s 4-10"", ""Income Tax Rates Act 1986 Sch 7"", ""Medicare Levy Act 1986 s 6"", ""ITAA 1997 s 6-20""]",https://www.ato.gov.au/tax-rates-and-codes/tax-rates-australian-residents,"Priya is an Australian resident for the year ended 30 June 2024 with a taxable income of $60,000. During the year she also received a $1,500 government disaster relief payment that is exempt income (not assessable and not included in taxable income). Priya is 67 years old. For 2023-24 the resident rates are: nil up to $18,200; 19c per $1 from $18,201 to $45,000; $5,092 plus 32.5c per $1 from $45,001 to $120,000; plus a 2% Medicare levy on taxable income.

What is Priya's income tax payable (including the 2% Medicare levy) on her taxable income of $60,000 for 2023-24?

A. $20,700.00
B. $11,684.50
C. $9,967.00
D. $11,167.00","$20,700.00","$11,684.50","$9,967.00","$11,167.00",D,"$11,167.00",11167.0,AUD,"The $1,500 disaster relief payment is exempt income and Priya's age (67) does not change these rates, so both are ignored → Income tax (2023-24 bracket $45,001-$120,000) = 5,092 + (60,000 − 45,000) × 0.325 = 5,092 + 4,875 = 9,967 → Medicare levy = 60,000 × 0.02 = 1,200 → Income tax payable incl Medicare levy = 9,967 + 1,200 = 11,167","{""$20,700.00"": ""Applied 32.5% to the whole income instead of only the amount over $45,000 (and dropped the base amount)"", ""$11,684.50"": ""Wrongly added the $1,500 exempt disaster relief payment to taxable income"", ""$9,967.00"": ""Forgot to add the 2% Medicare levy"", ""$11,167.00"": ""Correct answer""}","{""formula"": ""base + (taxable_income - threshold) * marginal_rate + taxable_income * medicare_rate"", ""params"": {""taxable_income"": 60000, ""base"": 5092, ""threshold"": 45000, ""marginal_rate"": 0.325, ""medicare_rate"": 0.02, ""disaster_relief"": 1500, ""age"": 67}, ""expected"": 11167.0}"
Q037,GST,Margin scheme on subdivided land – GST = (sale price − apportioned cost) / 11,GST,2018-19,medium,"[""GST Act s 75-10"", ""GST Act s 75-15""]",https://www.ato.gov.au/businesses-and-organisations/gst-excise-and-indirect-taxes/gst/in-detail/your-industry/property/gst-and-the-margin-scheme/calculating-the-gst-payable,"Riverstone Developments is a GST-registered property developer. It bought a 2,500 square metre block of land for $275,000 from a private individual who wasn't required to be registered for GST. The block is of equal value per square metre. Riverstone subdivided it into a 1,000 sqm lot and a 1,500 sqm lot, using an area basis to work out the purchase price of each lot, so the 1,000 sqm lot's purchase price is 1,000 / 2,500 x $275,000 = $110,000. Riverstone sells the 1,000 sqm lot for $187,000 under the margin scheme.

How much GST is payable on the sale of the 1,000 sqm subdivided lot under the margin scheme?

A. $17,000
B. $7,000
C. -$8,000
D. $7,700","$17,000","$7,000","-$8,000","$7,700",B,"$7,000",7000.0,AUD,"Apportioned purchase price of the 1,000 sqm lot = 1,000 / 2,500 x 275,000 = 110,000 → Margin = sale price - apportioned purchase price = 187,000 - 110,000 = 77,000 → GST = one eleventh of the margin = 77,000 / 11 = 7,000","{""$17,000"": ""Applied 1/11 to the full sale price instead of the margin"", ""$7,000"": ""Correct answer"", ""-$8,000"": ""Subtracted the whole block's $275,000 cost instead of the apportioned $110,000 for the lot sold"", ""$7,700"": ""Took 10% of the GST-inclusive margin instead of 1/11""}","{""formula"": ""(sale_price - apportioned_cost) / 11"", ""params"": {""sale_price"": 187000, ""apportioned_cost"": 110000, ""total_block_cost"": 275000}, ""expected"": 7000.0}"
Q038,GST,Margin scheme – GST = margin / 11 (vacant land improved and resold),GST,2018-19,easy,"[""A New Tax System (Goods and Services Tax) Act 1999 s 75-5"", ""GST Act s 75-10""]",https://www.ato.gov.au/businesses-and-organisations/gst-excise-and-indirect-taxes/gst/in-detail/your-industry/property/gst-and-the-margin-scheme/calculating-the-gst-payable,"Marco is registered for GST. On 25 September 2017 he buys vacant land for $660,000 from Lena, who isn't registered for GST. Marco improves the property with roads and other services and sells it to a developer for $935,000 on 2 October 2018. He chooses to use the margin scheme to work out the GST on the sale.

How much GST must Marco pay on the sale under the margin scheme?

A. $27,500
B. $85,000
C. $12,500
D. $25,000","$27,500","$85,000","$12,500","$25,000",D,"$25,000",25000.0,AUD,"Margin = sale price - purchase price = 935,000 - 660,000 = 275,000 → Under the margin scheme, GST = one eleventh of the margin → GST = 275,000 / 11 = 25,000","{""$27,500"": ""Took 10% of the GST-inclusive margin instead of 1/11"", ""$85,000"": ""Applied 1/11 to the full sale price instead of the margin (ignored the margin scheme)"", ""$12,500"": ""Halved the GST as if a CGT-style 50% discount applied"", ""$25,000"": ""Correct answer""}","{""formula"": ""(sale_price - purchase_price) / 11"", ""params"": {""sale_price"": 935000, ""purchase_price"": 660000}, ""expected"": 25000.0}"
Q039,Rental property,Holiday home with owner private use (net rental loss after apportionment),Income tax (rental),2024-25,medium,"[""ITAA 1997 s 8-1"", ""IT 2167""]",https://www.ato.gov.au/forms-and-instructions/rental-properties-2025/rental-expenses,"Rosalind and Quentin jointly own a property they rent out at market rates and also use as a holiday home for 7 weeks during the year. Their total expenses for the property are $45,175, of which $2,275 is the agent's commission and advertising (fully deductible). The remaining $42,900 of expenses must be apportioned to the proportion of the year the property was rented out or genuinely available for rent (45 of 52 weeks). They received $31,200 in rent.

What rental loss do Rosalind and Quentin report for the year (combined)?

A. -$7,893.75
B. $23,150.00
C. -$13,975.00
D. -$8,200.00","-$7,893.75","$23,150.00","-$13,975.00","-$8,200.00",D,"-$8,200.00",-8200.0,AUD,"Apportion general expenses to the 45 weeks available for rent: (45 / 52) x 42,900 = 37,125 → Add the fully deductible agent commission and advertising: 37,125 + 2,275 = 39,400 total deductions → Rental loss = rent 31,200 - deductions 39,400 = -8,200","{""-$7,893.75"": ""Apportioned the agent commission/advertising too, instead of claiming it in full"", ""$23,150.00"": ""Apportioned using the 4 private-use weeks instead of the 48 weeks available for rent"", ""-$13,975.00"": ""Deducted the full year of expenses without apportioning for the 4 weeks of private use"", ""-$8,200.00"": ""Correct answer""}","{""formula"": ""rent_received - ((weeks_available / weeks_in_year) * apportionable_expenses + agent_costs)"", ""params"": {""rent_received"": 31200, ""apportionable_expenses"": 42900, ""weeks_available"": 45, ""weeks_in_year"": 52, ""agent_costs"": 2275}, ""expected"": -8200.0}"
Q040,CGT,"Multi-step: prior-year loss, then current-year loss, then discount (order matters)",Income tax (CGT),2024-25,hard,"[""ITAA 1997 s 102-5"", ""ITAA 1997 s 102-15"", ""ITAA 1997 s 115-100""]",https://www.ato.gov.au/individuals-and-families/investments-and-assets/capital-gains-tax/calculating-your-cgt/how-to-calculate-your-cgt,"In 2024-25 Wei makes a discount-eligible capital gain of $80,000 on an investment property held for 7 years. In the same year he makes a $6,000 capital loss on shares. He also has a net capital loss of $14,000 carried forward from an earlier income year. Per the ATO steps, all capital losses (prior-year first, then current-year) are subtracted from the gain before the 50% discount is applied to what remains.

What is Wei's net capital gain for 2024-25 after applying both capital losses and the CGT discount?

A. $30,000
B. $37,000
C. $20,000
D. $60,000","$30,000","$37,000","$20,000","$60,000",A,"$30,000",30000.0,AUD,"Subtract the prior-year net capital loss first: 80,000 - 14,000 = 66,000 → Subtract the current-year capital loss: 66,000 - 6,000 = 60,000 → Apply the 50% CGT discount to the remaining gain: 60,000 x 0.5 = 30,000","{""$30,000"": ""Correct answer"", ""$37,000"": ""Subtracted only the current-year loss and ignored the carried-forward prior-year loss"", ""$20,000"": ""Trap: applied the 50% discount before subtracting the losses (wrong order)"", ""$60,000"": ""Subtracted both losses but forgot to apply the 50% discount""}","{""formula"": ""(property_gain - prior_loss - current_loss) * discount_rate"", ""params"": {""property_gain"": 80000, ""current_loss"": 6000, ""prior_loss"": 14000, ""discount_rate"": 0.5}, ""expected"": 30000.0}"
Q041,Superannuation,Concessional cap headroom after employer SG (OTE × rate) plus salary sacrifice,Superannuation (concessional contributions cap),2025-26,medium,"[""ITAA 1997 s 291-20"", ""Superannuation Guarantee (Administration) Act 1992 s 19""]",https://www.ato.gov.au/individuals-and-families/super-for-individuals-and-families/super/growing-and-keeping-track-of-your-super/how-to-save-more-in-your-super/salary-sacrificing-super,"In 2025-26 Leah's ordinary time earnings (OTE) are $90,000, on which her employer must pay super guarantee (SG) at the 2025-26 rate of 12%. She also enters a salary-sacrifice arrangement to put an extra $12,000 into super; salary-sacrificed amounts are concessional contributions and count towards the concessional contributions cap. The concessional contributions cap for 2025-26 is $30,000. She has no carried-forward unused cap.

How much further concessional contribution headroom does Leah have under her 2025-26 concessional cap after her employer SG and salary sacrifice?

A. $7,650
B. $7,200
C. $18,000
D. $19,200","$7,650","$7,200","$18,000","$19,200",B,"$7,200",7200.0,AUD,"Employer SG = OTE × 12% = 90,000 × 0.12 = 10,800 → Salary-sacrifice contributions = 12,000 (these are concessional and count towards the cap) → Total concessional contributions used = 10,800 + 12,000 = 22,800 → Headroom = concessional cap − contributions used = 30,000 − 22,800 = 7,200","{""$7,650"": ""Used the 2024-25 SG rate of 11.5% instead of the 2025-26 rate of 12%"", ""$7,200"": ""Correct answer"", ""$18,000"": ""Counted only the salary sacrifice against the cap and ignored the employer SG (which is also concessional)"", ""$19,200"": ""Counted only the employer SG and ignored the $12,000 salary-sacrifice amount""}","{""formula"": ""cc_cap - (ote*sg_rate + salary_sacrifice)"", ""params"": {""ote"": 90000, ""sg_rate"": 0.12, ""salary_sacrifice"": 12000, ""cc_cap"": 30000, ""old_sg_rate"": 0.115}, ""expected"": 7200.0}"
Q042,Depreciation,"Immediate deduction threshold – asset costing $301 (just over, must depreciate)","Income tax (capital allowances, Div 40)",2024-25,medium,"[""ITAA 1997 s 40-80(2)"", ""ITAA 1997 s 40-25"", ""ITAA 1997 s 40-70""]",https://www.ato.gov.au/individuals-and-families/investments-and-assets/property-and-land/residential-rental-properties/rental-expenses/depreciating-assets-in-rental-properties,"Sanjay buys a depreciating asset (a freestanding microwave) for his residential rental property for $301 (he is not registered for GST). The asset is held for the full 365 days of the year and used 100% to produce assessable rental income. Because the cost is MORE than $300, he cannot claim an immediate deduction; he must claim the decline in value over its effective life of 10 years. He chooses the diminishing value method (200% rate), and in the first year the base value equals the $301 cost.

What decline-in-value deduction can Sanjay claim for the microwave in its first year (diminishing value method)?

A. $30.10
B. $45.15
C. $60.20
D. $301.00",$30.10,$45.15,$60.20,$301.00,C,$60.20,60.2,AUD,"Cost is $301, which is MORE than $300, so no immediate deduction is available → Diminishing value rate = 200% / 10 years = 20% → Decline in value = 301 x (365/365) x (2.0/10) = 60.20","{""$30.10"": ""Used the prime cost 100% rate instead of the diminishing value 200% rate"", ""$45.15"": ""Used the old 150% diminishing value rate (for assets first held before 10 May 2006) instead of the 200% rate"", ""$60.20"": ""Correct answer"", ""$301.00"": ""Trap: claimed the full $301 as an immediate deduction, but at $301 the asset is over the $300 threshold and must be depreciated""}","{""formula"": ""cost * (days_held / days_year) * (dv_factor / effective_life)"", ""params"": {""cost"": 301, ""days_held"": 365, ""days_year"": 365, ""effective_life"": 10, ""dv_factor"": 2.0}, ""expected"": 60.2}"
Q043,Individual income tax,Medicare levy reduction for low-income earners (shade-in),Medicare levy,2024-25,medium,"[""Medicare Levy Act 1986 s 7"", ""Medicare Levy Act 1986 s 8""]",https://www.ato.gov.au/individuals-and-families/medicare-and-private-health-insurance/medicare-levy/medicare-levy-reduction/medicare-levy-reduction-for-low-income-earners,"Bianca's taxable income is $31,500. She is single with no dependants and isn't entitled to SAPTO. For 2024-25 a single taxpayer's Medicare levy is reduced (shaded in) where taxable income is between the lower threshold of $27,222 and the upper threshold of $34,027: in the shade-in range the levy is 10c for each $1 of taxable income above the lower threshold (instead of the full 2%). The ATO's calculator shows Bianca's Medicare levy is reduced accordingly.

What is Bianca's reduced Medicare levy for 2024-25?

A. $427.80
B. $85.56
C. $630.00
D. $3,150.00",$427.80,$85.56,$630.00,"$3,150.00",A,$427.80,427.8,AUD,"Kept taxable income within the 2024-25 single shade-in band ($27,222 lower to $34,027 upper threshold) → In the shade-in range the levy = 10c for each $1 of taxable income over the lower threshold → Reduced Medicare levy = (31,500 - 27,222) x 0.10 = 4,278 x 0.10 = 427.80","{""$427.80"": ""Correct answer"", ""$85.56"": ""Applied the 2% rate to the excess over the threshold instead of the 10% shade-in rate"", ""$630.00"": ""Charged the full 2% Medicare levy and ignored the low-income reduction"", ""$3,150.00"": ""Applied the 10% shade-in rate to the whole taxable income instead of only the amount over the lower threshold""}","{""formula"": ""(taxable_income - lower_threshold) * shade_in_rate"", ""params"": {""taxable_income"": 31500, ""lower_threshold"": 27222, ""shade_in_rate"": 0.1, ""full_rate"": 0.02}, ""expected"": 427.8}"
Q044,Superannuation,Super guarantee – maximum contribution base cap,Superannuation (super guarantee),2025-26,medium,"[""Superannuation Guarantee (Administration) Act 1992 s 15"", ""Superannuation Guarantee (Administration) Act 1992 s 19""]",https://www.ato.gov.au/businesses-and-organisations/super-for-employers/paying-super-contributions/how-much-super-to-pay,"Felix is the Operations Manager of Diana's Stationery Pty Ltd. During the July to September quarter of 2025-26, Felix's earnings are $78,000. The quarterly maximum contribution base (MCB) for 2025-26 is $62,500, and the super guarantee rate is 12%. SG is only payable up to the MCB.

What super guarantee must Diana's Stationery Pty Ltd contribute for Felix for the quarter?

A. $9,360
B. $62,500
C. $1,860
D. $7,500","$9,360","$62,500","$1,860","$7,500",D,"$7,500",7500.0,AUD,"Quarterly earnings = $78,000, which (like the base example) exceeds the maximum contribution base, so SG is capped at the MCB of $62,500 → Use the lesser of earnings and the MCB = $62,500 (MCB kept fixed from the base example) → SG = 62,500 x 12% = $7,500 (no SG is payable on OTE above $62,500)","{""$9,360"": ""Applied SG to the full $78,000, ignoring the maximum contribution base cap"", ""$62,500"": ""Reported the MCB amount itself instead of 12% SG on it"", ""$1,860"": ""Applied SG only to the earnings above the MCB"", ""$7,500"": ""Correct answer""}","{""formula"": ""min(earnings, mcb) * sg_rate"", ""params"": {""earnings"": 78000, ""mcb"": 62500, ""sg_rate"": 0.12}, ""expected"": 7500.0}"
Q045,Rental property,"Initial repairs are capital, not a deductible repair (existing defects at purchase)",Income tax (rental),2024-25,medium,"[""ITAA 1997 s 25-10"", ""ITAA 1997 s 25-10(3)"", ""ITAA 1997 Div 43""]",https://www.ato.gov.au/individuals-and-families/investments-and-assets/property-and-land/residential-rental-properties/rental-expenses/repair-and-maintenance-expenses,"Liam buys a rental property and, immediately after settlement and before the first tenant moves in, pays $8,000 to fix a damaged ceiling and a rotted fence that were already defective at the date of purchase. In the same year he also pays $1,200 to fix a hot-water system that broke down due to normal wear AFTER the property had been rented. Initial repairs to rectify damage or defects existing at the time of purchase are capital in nature and cannot be claimed as an immediate repair deduction (they are claimed as capital works over 40 years instead). The $1,200 wear-and-tear repair during the rental period is an immediately deductible repair.

What amount can Liam claim as an immediate repairs deduction (section 25-10) in 2024-25?

A. $1,400
B. $1,200
C. $8,000
D. $9,200","$1,400","$1,200","$8,000","$9,200",B,"$1,200",1200.0,AUD,"The $8,000 to rectify defects existing at purchase are INITIAL repairs – capital in nature, not an immediate repair deduction → The $1,200 to fix the hot-water system after wear and tear during the rental period IS an immediately deductible repair → Immediate repairs deduction = 1,200 (the $8,000 is claimed as capital works at 2.5% per year instead)","{""$1,400"": ""Added the first-year 2.5% capital works deduction on the initial repairs to the genuine repair instead of treating them separately"", ""$1,200"": ""Correct answer"", ""$8,000"": ""Claimed only the capital initial repairs as an immediate deduction and missed the genuine $1,200 repair"", ""$9,200"": ""Trap: claimed both amounts as immediate repairs, but the $8,000 initial repairs are capital and not deductible as a repair""}","{""formula"": ""ordinary_repair"", ""params"": {""initial_repairs"": 8000, ""ordinary_repair"": 1200, ""capital_works_rate"": 0.025}, ""expected"": 1200.0}"
Q046,Individual income tax,Foreign income tax offset (FITO) limit,Income tax offset,2023-24,hard,"[""ITAA 1997 s 770-10"", ""ITAA 1997 s 770-75""]",https://www.ato.gov.au/forms-and-instructions/foreign-income-tax-offset-rules-guide-2024/calculate-your-fito-or-offset-limit,"Yuki is an Australian resident for the year ended 30 June 2024. She paid $3,200 of foreign income tax. Because she is claiming more than $1,000, she must work out her foreign income tax offset limit. Step 1 is the tax payable on her actual taxable income of $29,000 (including Medicare levy), which the ATO gives as $2,632.00. Step 2 is the tax that would be payable if her assessable foreign income and related deductions were disregarded, leaving a taxable income of $20,500; the ATO gives this as $437.00 (no Medicare levy, as $20,500 is below the Medicare low-income threshold). The offset limit is Step 1 minus Step 2.

What is Yuki's foreign income tax offset limit for 2023-24?

A. $2,195
B. $3,200
C. $3,069
D. $2,632","$2,195","$3,200","$3,069","$2,632",A,"$2,195",2195.0,AUD,"Step 1: tax payable on actual taxable income $29,000 (incl Medicare levy) = 2,632.00 → Step 2: tax payable disregarding foreign income, on taxable income $20,500 (no Medicare levy) = 437.00 → Step 3: offset limit = Step 1 - Step 2 = 2,632.00 - 437.00 = 2,195.00 → Although Yuki paid $3,200 foreign tax, her offset is limited to $2,195.00","{""$2,195"": ""Correct answer"", ""$3,200"": ""Claimed the full $3,200 foreign tax paid without applying the offset limit"", ""$3,069"": ""Added Step 1 and Step 2 instead of subtracting, then capped at foreign tax paid"", ""$2,632"": ""Used only the Step 1 tax figure as the limit, forgetting to subtract Step 2""}","{""formula"": ""step1_tax - step2_tax"", ""params"": {""step1_tax"": 2632.0, ""step2_tax"": 437.0, ""foreign_tax_paid"": 3200}, ""expected"": 2195.0}"
Q047,Employment,Work-related car – logbook method (total car expenses × business-use %),Income tax (work-related deduction),2024-25,easy,"[""ITAA 1997 s 28-90"", ""ITAA 1997 s 28-100"", ""ITAA 1997 s 8-1""]",https://www.ato.gov.au/businesses-and-organisations/income-deductions-and-concessions/income-and-deductions-for-business/deductions/deductions-for-motor-vehicle-expenses/logbook-method,"At the end of the income year Owen's logbook shows he travelled a total of 13,000 kilometres, of which 9,750 were for business-related purposes, giving a business-use percentage of 9,750 ÷ 13,000 × 100 = 75%. Owen's total car expenses, including depreciation, are $12,500 for the income year.

Using the logbook method, what car expense deduction can Owen claim?

A. $9,375.00
B. $16,666.67
C. $12,500.00
D. $12,499.25","$9,375.00","$16,666.67","$12,500.00","$12,499.25",A,"$9,375.00",9375.0,AUD,"Business-use percentage = 9,750 ÷ 13,000 × 100 = 75% → Deduction = total car expenses × business-use percentage → = 12,500 × 75% = 9,375","{""$9,375.00"": ""Correct answer"", ""$16,666.67"": ""Inverted the ratio (total ÷ business instead of business ÷ total)"", ""$12,500.00"": ""Claimed all car expenses without apportioning by the business-use percentage"", ""$12,499.25"": ""Subtracted the business-use fraction from the expenses instead of multiplying""}","{""formula"": ""total_expenses * (business_km/total_km)"", ""params"": {""total_expenses"": 12500, ""business_km"": 9750, ""total_km"": 13000}, ""expected"": 9375.0}"
Q048,FBT,Aggregate non-exempt amount – car fringe benefit grossed up less capping threshold (PBI),Fringe benefits tax (car fringe benefits),2023-24,hard,"[""FBTAA 1986 s 5B(1E)"", ""FBTAA 1986 s 57A"", ""FBTAA 1986 s 65J""]",https://www.ato.gov.au/forms-and-instructions/fringe-benefits-tax-return-2024-instructions/worked-examples-not-for-profit-employers-completing-your-fbt-return,"Riverbend Benevolent Society, a public benevolent institution registered for GST, provides Fatima with a car fringe benefit valued at $28,000 using the statutory formula method (a type 1 benefit, as the institution is entitled to GST credits). Fatima's only other benefit is a reimbursement of holiday cottage rent that is not under a salary packaged arrangement, so it is excluded. The capping threshold for a public benevolent institution is $30,000. Fatima's grossed-up type 1 amount is $28,000 x 2.0802 = $58,245.60, which exceeds the $30,000 cap.

What is the aggregate non-exempt amount for Fatima's car fringe benefit?

A. $58,245.60
B. $22,830.40
C. $28,245.60
D. -$2,000.00","$58,245.60","$22,830.40","$28,245.60","-$2,000.00",C,"$28,245.60",28245.6,AUD,"Gross up the car fringe benefit using the type 1 rate: 28,000 x 2.0802 = 58,245.60 → The grossed-up amount exceeds the public benevolent institution capping threshold of 30,000 → Aggregate non-exempt amount = grossed-up amount - cap = 58,245.60 - 30,000 = 28,245.60","{""$58,245.60"": ""Forgot to subtract the $30,000 capping threshold"", ""$22,830.40"": ""Used the type 2 gross-up rate 1.8868 instead of the type 1 rate 2.0802"", ""$28,245.60"": ""Correct answer"", ""-$2,000.00"": ""Subtracted the cap from the ungrossed-up taxable value instead of grossing up first""}","{""formula"": ""car_value * type1_rate - exemption_cap"", ""params"": {""car_value"": 28000, ""type1_rate"": 2.0802, ""exemption_cap"": 30000}, ""expected"": 28245.6}"
Q049,Employment,"Working from home – fixed rate, only hours with contemporaneous records",Income tax (work-related deduction),2024-25,medium,"[""ITAA 1997 s 8-1"", ""PCG 2023/1""]",https://www.ato.gov.au/individuals-and-families/income-deductions-offsets-and-records/deductions-you-can-claim/work-related-deductions/working-from-home-expenses/fixed-rate-method,"Glenn works from home two days a week (16 hours). From 1 July 2024 to 28 February 2025 he did not keep a record of his work-from-home hours, so he estimated 315 hours, but estimates are not accepted under the fixed rate method. From 1 March 2025 to 30 June 2025 he kept a record in his calendar of his actual start and finish times and calculated 204 hours worked from home. The fixed rate for 2024-25 is 70 cents per work hour.

What working-from-home deduction can Glenn claim for 2024-25 using the fixed rate method?

A. $220
B. $363
C. $137
D. $143",$220,$363,$137,$143,D,$143,143.0,AUD,Only the 204 hours from 1 March to 30 June 2025 have a contemporaneous record and are claimable; the 315 estimated hours are not accepted → Deduction = 204 × $0.70 = $142.80 → Cents are disregarded: deduction = $143,"{""$220"": ""Used only the estimated-hours period instead of the recorded hours"", ""$363"": ""Included the 315 estimated hours that have no contemporaneous record"", ""$137"": ""Used the prior-year 67 cents rate instead of the 2024-25 rate of 70 cents"", ""$143"": ""Correct answer""}","{""formula"": ""round(eligible_hours * rate)"", ""params"": {""eligible_hours"": 204, ""estimated_hours"": 315, ""rate"": 0.7}, ""expected"": 143.0}"
Q050,GST,Margin scheme – GST = margin / 11 using an approved valuation (going concern),GST,2020-21,medium,"[""GST Act s 75-10"", ""GST Act s 75-11""]",https://www.ato.gov.au/businesses-and-organisations/gst-excise-and-indirect-taxes/gst/in-detail/your-industry/property/gst-and-the-margin-scheme/calculating-the-gst-payable,"In September 2018 Bruno sold his going concern, which included property, to Sofia. Bruno had originally bought the property using the margin scheme in August 2014 for $360,000, and a 2014 state government rates valuation stated its value was $385,000 (given to Sofia). Bruno was registered for GST when Sofia bought it. In 2020 Sofia sells the property to a buyer using the margin scheme for $1,045,000, using the 2014 approved valuation of $385,000 to work out the margin.

How much GST must Sofia pay on the sale under the margin scheme?

A. $60,000.00
B. $62,272.73
C. $95,000.00
D. $66,000.00","$60,000.00","$62,272.73","$95,000.00","$66,000.00",A,"$60,000.00",60000.0,AUD,"Margin = sale price - approved valuation on the date Bruno purchased = 1,045,000 - 385,000 = 660,000 → Under the margin scheme, GST = one eleventh of the margin → GST = 660,000 / 11 = 60,000","{""$60,000.00"": ""Correct answer"", ""$62,272.73"": ""Used the $360,000 actual purchase price instead of the $385,000 approved valuation for the margin"", ""$95,000.00"": ""Applied 1/11 to the full sale price instead of the margin"", ""$66,000.00"": ""Took 10% of the GST-inclusive margin instead of 1/11""}","{""formula"": ""(sale_price - approved_valuation) / 11"", ""params"": {""sale_price"": 1045000, ""approved_valuation"": 385000, ""actual_purchase_price"": 360000}, ""expected"": 60000.0}"
